requested_title,requested_artist,matched_title,matched_artist,year,reason
Around the Way Girl,LL COOL J,Around The Way Girl,LL COOL J,1990,not-song
Xxplosive,Dr. Dre,"Xxplosive (feat. Hittman, Six-Two, Nate Dogg & Kurupt)",Dr. Dre,1999,catalog-inLibrary-true
Mic Check,Juelz Santana,Mic Check (feat. Juelz Santana & Young Jeezy),Jim Jones,2005,catalog-mismatch
We Fly High,Jim Jones,We Fly High,Jim Jones,2006,catalog-inLibrary-true
Stunt 101,G-Unit,Stunt 101 (Explicit),G-Unit,2003,catalog-inLibrary-true
21 Questions,50 Cent,21 Questions (feat. Nate Dogg),50 Cent,2003,catalog-inLibrary-true
Hate It or Love It,The Game,Love It or Hate It,"The Game, Snoop Dogg, Sela V & Cool & Dre",2026,catalog-mismatch
Let's Get Away,T.I.,Let's Get Away,T.I.,2003,catalog-mismatch
Whatever You Like,T.I.,Whatever You Like,T.I.,2008,catalog-mismatch
I Know What You Want,Busta Rhymes,I Know What You Want (feat. Flipmode Squad),Busta Rhymes & Mariah Carey,2002,catalog-inLibrary-true
Down Ass Bitch,Ja Rule,Down Ass Bitch (feat. Chuck) [feat. Chuck],Ja Rule,2001,catalog-inLibrary-true
U Remind Me,Usher,U Remind Me,USHER,2001,catalog-inLibrary-true
When You're Mad,Ne-Yo,When You're Mad,Ne-Yo,2006,catalog-mismatch
Mad,Ne-Yo,Mad,Ne-Yo,2008,catalog-mismatch
Yo (Excuse Me Miss),Chris Brown,Yo (Excuse Me Miss),Chris Brown,2005,catalog-inLibrary-true
Where I Wanna Be,Donell Jones,Where I Wanna Be,Donell Jones,1999,catalog-inLibrary-true
Peaches & Cream,112,Peaches and Cream,112,2001,catalog-mismatch
Knock You Down,Keri Hilson,Knock You Down,"Keri Hilson, Kanye West & Ne-Yo",2008,catalog-inLibrary-true
Shawty Is a 10,The-Dream,Shawty Is da Sh*! (feat. Fabolous),The-Dream & Fabolous,2007,catalog-mismatch
My Love,Justin Timberlake,My Love (feat. T.I.),Justin Timberlake,2006,catalog-inLibrary-true
