title,artist,year,genres,tags
Is It Good To You,Heavy D & The Boyz,1991,Hip-Hop/Rap,apple-music-catalog
Got Me Waiting,Heavy D & The Boyz,1994,Hip-Hop/Rap|R&B/Soul|Contemporary R&B,apple-music-catalog
Hey Lover (feat. Boyz II Men),LL COOL J,1995,Hip-Hop/Rap,apple-music-catalog
If I Ruled the World (Imagine That),Nas,1996,Hip-Hop/Rap,apple-music-catalog
Let's Ride,Q-Tip,1999,Hip-Hop/Rap|Rock|East Coast Rap|Hip-Hop|Alternative Rap,apple-music-catalog
All Good? (feat. Chaka Khan),De La Soul,2000,Hip-Hop/Rap,apple-music-catalog
You Got Me (feat. Erykah Badu & Eve),"The Roots, Erykah Badu & Tariq Trotter",1999,Hip-Hop/Rap,apple-music-catalog
Get By,Talib Kweli,2002,Hip-Hop/Rap|Hip-Hop|Alternative Rap|Underground Rap|East Coast Rap|Rock,apple-music-catalog
Ms. Fat Booty,Mos Def,1999,Hip-Hop/Rap,apple-music-catalog
Do for Love,2Pac,1997,Hip-Hop/Rap|Gangsta Rap|West Coast Rap,apple-music-catalog
I Get Around,2Pac,1998,Hip-Hop/Rap|West Coast Rap|Hardcore Rap|Gangsta Rap,apple-music-catalog
Beautiful (feat. Pharrell Williams & Uncle Charlie Wilson),Snoop Dogg,2002,Pop,apple-music-catalog
Regulate (feat. Nate Dogg),Warren G,1994,Hip-Hop/Rap,apple-music-catalog
Nobody Does It Better (feat. Warren G) [Original Maxi Version],Nate Dogg,1998,Hip-Hop/Rap|Rap|West Coast Rap|Hip-Hop|Gangsta Rap|R&B/Soul,apple-music-catalog
Player's Ball,Outkast,1993,Hip-Hop/Rap|Dirty South|Alternative Rap|Rap|Hip-Hop,apple-music-catalog
ATLiens,Outkast,1996,Hip-Hop/Rap|Dirty South|Alternative Rap,apple-music-catalog
Quiet Storm,Mobb Deep,1999,Hip-Hop/Rap|Gangsta Rap|Hardcore Rap|East Coast Rap,apple-music-catalog
How's It Goin' Down,DMX,1998,Hip-Hop/Rap,apple-music-catalog
I'll Be There for You / You're All I Need to Get By (feat. Mary J. Blige),Method Man,1995,Hip-Hop/Rap|Hip-Hop|East Coast Rap,apple-music-catalog
Crush On You (feat. Lil' Cease) [Remix],Lil' Kim,1997,Hip-Hop|Hip-Hop/Rap,apple-music-catalog
Hot Spot,Foxy Brown,1998,R&B/Soul|Hip-Hop/Rap|Hardcore Rap|East Coast Rap|Hip-Hop,apple-music-catalog
Love Like This,Faith Evans,1998,R&B/Soul|Dance|House|Soul|Hip-Hop/Rap|Rap|Hip-Hop|Contemporary R&B,apple-music-catalog
Don't Leave Me,Blackstreet,1996,R&B/Soul,apple-music-catalog
Can't Deny It (feat. Nate Dogg),Fabolous,2001,Hip-Hop/Rap|Gangsta Rap|East Coast Rap,apple-music-catalog
Young'n,Fabolous,2001,Hip-Hop/Rap|Gangsta Rap|East Coast Rap,apple-music-catalog
"Hey Ma (feat. Juelz Santana, Freekey Zeekey, Freekey Zekey & Toya)",Cam'ron,2002,Hip-Hop/Rap,apple-music-catalog
Oh Boy (feat. Juelz Santana),Cam'ron,2002,Pop|Hip-Hop/Rap|East Coast Rap|Hardcore Rap|Rock,apple-music-catalog
Daydreaming (feat. Tiffany),Cam'ron,2002,Hip-Hop/Rap,apple-music-catalog
Why (feat. Anthony Hamilton) [Explicit],Jadakiss,2004,Hip-Hop/Rap,apple-music-catalog
On Fire,Lloyd Banks,2004,Hip-Hop/Rap|Rock|Rap|Gangsta Rap|Hardcore Rap,apple-music-catalog
Just a Lil Bit,50 Cent,2005,Hip-Hop/Rap|Gangsta Rap|East Coast Rap|Hardcore Rap,apple-music-catalog
Let's Ride,The Game,2006,Hip-Hop/Rap,apple-music-catalog
Magnificent (feat. John Legend),Rick Ross,2009,Hip-Hop/Rap|Gangsta Rap|Dirty South,apple-music-catalog
Soul Survivor (feat. Akon),Jeezy,2005,Hip-Hop/Rap|Dirty South|Gangsta Rap,apple-music-catalog
Put On (feat. Kanye West),Jeezy,2008,Hip-Hop/Rap|Gangsta Rap|Dirty South,apple-music-catalog
Splash Waterfalls,Ludacris,2003,Hip-Hop/Rap|Dirty South,apple-music-catalog
Hey Luv (Anything),Mobb Deep,2006,Hip-Hop/Rap|Hip-Hop|East Coast Rap|Hardcore Rap|Gangsta Rap|Pop,apple-music-catalog
Awnaw (All Hooks Up Version),Nappy Roots,2002,Hip-Hop/Rap|Dirty South,apple-music-catalog
One Call Away (feat. J/Weav),Chingy,2003,Pop|Hip-Hop/Rap|Dirty South,apple-music-catalog
Southside (feat. Ashanti),Lloyd,2004,Hip-Hop/Rap|R&B/Soul|Contemporary R&B|Rock,apple-music-catalog
Girls Around the World (feat. Lil Wayne) [Radio Version],Lloyd,2008,R&B/Soul|Contemporary R&B,apple-music-catalog
U Don't Have to Call,USHER,2001,R&B/Soul|Contemporary R&B|Pop|Neo-Soul,apple-music-catalog
Crying Out For Me,Mario,2007,R&B/Soul,apple-music-catalog
How Do I Breathe,Mario,2007,R&B/Soul,apple-music-catalog
I Need a Girl,Trey Songz,2009,R&B/Soul,apple-music-catalog
Last Time,Trey Songz,2007,R&B/Soul|Contemporary R&B,apple-music-catalog
Poppin' (Main),Chris Brown,2005,R&B/Soul,apple-music-catalog
Entourage,Omarion,2006,R&B/Soul|Contemporary R&B,apple-music-catalog
O,Omarion,2004,R&B/Soul|Contemporary R&B,apple-music-catalog
Clubbin' (feat. Pied Piper & Joe Budden),Marques Houston,2003,R&B/Soul,apple-music-catalog
What's So Different?,Ginuwine,1999,R&B/Soul|Contemporary R&B|Pop,apple-music-catalog
In Those Jeans,Ginuwine,2003,R&B/Soul,apple-music-catalog
Shorty (Got Her Eyes On Me),Donell Jones,1999,R&B/Soul|Contemporary R&B,apple-music-catalog
Stutter,Joe,2000,R&B/Soul|Contemporary R&B,apple-music-catalog
Let's Get Married (Remix),Jagged Edge,2000,R&B/Soul|Contemporary R&B,apple-music-catalog
Promise,Jagged Edge,2000,R&B/Soul|Contemporary R&B|Hip-Hop/Rap,apple-music-catalog
Wifey,Next,2004,R&B/Soul|Contemporary R&B,apple-music-catalog
One In A Million,Aaliyah,1996,R&B/Soul,apple-music-catalog
1 Thing,Amerie,2005,R&B/Soul|Hip-Hop/Rap,apple-music-catalog
Only U (No Intro),Ashanti,2004,Hip-Hop/Rap|R&B/Soul|Hip-Hop|Contemporary R&B,apple-music-catalog
Oh (feat. Ludacris),Ciara,2004,R&B/Soul|Rock|Hip-Hop/Rap|Rap|Dirty South|Contemporary R&B,apple-music-catalog
Me & U,Cassie,2006,R&B/Soul|Rock|Pop|Contemporary R&B,apple-music-catalog
Falsetto,The-Dream,2007,R&B/Soul|Rock|Contemporary R&B,apple-music-catalog
I'm N Luv (Wit a Stripper) [feat. Mike Jones],T-Pain,2005,R&B/Soul|Hip-Hop/Rap|Rap,apple-music-catalog
Church (feat. Teddy Verseti),T-Pain,2007,Hip-Hop/Rap,apple-music-catalog
