title,artist,year,genres,tags,feedback
Can’t Stop Me,Jadakiss,2009,hip-hop|east coast rap,anthemic|sampled-hook,star
The Setup,Obie Trice,2003,hip-hop,melodic-hook|nate-dogg,star
Sugar Hill,AZ,1995,hip-hop|east coast rap,smooth|soulful,star
Luchini AKA This Is It,Camp Lo,1997,hip-hop,jazzy|upbeat|sample-heavy,star
I Got Love,Nate Dogg,2001,hip-hop|r&b,west-coast|melodic,added
Po' Folks,Nappy Roots,2002,hip-hop|southern rap,soulful|storytelling,added
Music,Erick Sermon,2001,hip-hop,soul-sample|midtempo,added
The Light,Common,2000,hip-hop,soulful|warm,added
Renee,Lost Boyz,1995,hip-hop|east coast rap,storytelling|melodic,added
"Everything, Everyday, Everywhere",Fabolous,,,,star
"Bust It Baby, Pt. 2",Plies,,,,star
So What,Field Mob,,,,star
Back to the Crib,Juelz Santana,,,,added
Say Aah,Trey Songz,,,,star
Lovers and Friends,Lil Jon & The East Side Boyz,,,,star
Best Friend (Remix),50 Cent,,,,star
Caught Up,Ja Rule & Lloyd,,,,added
All Eyez,The Game,,,,added
Follow My Lead,50 Cent,,,,added
Baby Don't Go,Fabolous,,,,star
My Time,Fabolous,,,,added
I Don't Deserve You,Lloyd Banks,,,,added
Break Up,Mario,,,,star
Do You Wanna Get $?,Mase,,,,star
From Scratch,Mase,,,,star
Same N****s,Mase,,,,star
All I Ever Wanted,Mase,,,,star
Keep It On,Mase,,,,star
Killa,Cherish feat. Yung Joc,,,,rejected
Imma Put It on Her,Day26 feat. Diddy & Yung Joc,,,,rejected
Girl Tonite,Twista feat. Trey Songz,,,,rejected
Help,Lloyd Banks feat. Keri Hilson,,,,rejected
You Know What,Avant feat. Lil Wayne,,,,rejected
Ride Wit U,Joe feat. G-Unit,,,,rejected
Walk It Out,Unk,,,,rejected
Throw Some D's,Rich Boy,,,,rejected
Money in the Bank,Lil Scrappy,,,,rejected
Got 2 Luv U,Sean Paul,,,,star
Need A Boss,Shareefa,,,,star
Hit 'Em up Style (Oops!),Blu Cantrell,,,,star
U Know What's Up,Donell Jones,,,,star
Feelin' So Good,Jennifer Lopez,,,,star
How We Roll,Big Punisher,,,,star
Twinz,Big Punisher,,,,star
Rich N****z,J. Cole,,,,star
Boom,Snoop Dogg,,,,star
Aston Martin Music,Rick Ross,,,,star
Can't Believe It,T-Pain,,,,star
Can't Leave 'Em Alone,Ciara,,,,star
You,Lloyd,,,,star
"Baby, I'm Back",Baby Bash,,,,star
Doing Too Much,Paula DeAnda,,,,star
What You Got,Colby O'Donis,,,,star
Can't Let You Go,Fabolous,,,,star
Into You,Tamia,,,,star
Get It Shawty,Lloyd,,,,star
Do It to It,Cherish,,,,star
No Letting Go,Wayne Wonder,,,,star
Like Glue,Sean Paul,,,,star
Take You Down,Chris Brown,,,,star
Can't Get Enough,J. Cole,,,,star
There It Go (The Whistle Song),Juelz Santana,,,,star
Promise,Ciara,,,,star
Can't Help But Wait,Trey Songz,,,,star
Like You,Bow Wow,,,,star
Wait a Minute,The Pussycat Dolls,,,,star
I'm Gonna Be,Donell Jones,,,,star
Baby Boy,Sean Paul,,,,star
Mind Your Manners,Chiddy Bang,,,,star
Pony,Ginuwine,,,,star
If You Love Me,Brownstone,,,,star
Nobody's Perfect,J. Cole,,,,star
Wonderful,"Ashanti, Ja Rule & R. Kelly",,,,star
Back on the Road,Cordae,,,,star
One More Drink,Ludacris,,,,star
Pullin' Me Back,Chingy,,,,star
Pompeii,Bastille,,,,star
Sugar,Robin Schulz,,,,star
Changes,2Pac,,,,star
Roses,Outkast,,,,star
The Way You Move,Outkast,,,,star
Champion,Kanye West,,,,star
Good Morning,Kanye West,,,,star
Promiscuous,Nelly Furtado,,,,star
Fergalicious,Fergie,,,,star
Diamonds,Rihanna,,,,star
All the Right Moves,OneRepublic,,,,star
Down,Jay Sean,,,,star
Ambitionz Az A Ridah,2Pac,,,,star
What You Want,Mase,,,,star
Gangsta Lovin',Eve,,,,star
Another Round,Fat Joe,,,,star
Why Don't We Fall In Love,Amerie,,,,star
Throw It In the Bag,Fabolous,,,,star
Gangsta Luv,Snoop Dogg,,,,star
This D.J.,Warren G,,,,star
Pop Style,Drake,,,,star
2 Fake,Sleepy Hallow,,,,star
Damien,DMX,,,,star
24 BAR$,HEWGOE,,,,star
Mesmerize,Ja Rule,,,,star
Too Close,Next,,,,star
