title,artist,year,genres,tags
Can’t Stop Me,Jadakiss,2009,hip-hop|east coast rap,anthemic|sampled-hook
The Setup,Obie Trice,2003,hip-hop,melodic-hook|nate-dogg
Sugar Hill,AZ,1995,hip-hop|east coast rap,smooth|soulful
Luchini AKA This Is It,Camp Lo,1997,hip-hop,jazzy|upbeat|sample-heavy
I Got Love,Nate Dogg,2001,hip-hop|r&b,west-coast|melodic
Po' Folks,Nappy Roots,2002,hip-hop|southern rap,soulful|storytelling
Music,Erick Sermon,2001,hip-hop,soul-sample|midtempo
The Light,Common,2000,hip-hop,soulful|warm
Renee,Lost Boyz,1995,hip-hop|east coast rap,storytelling|melodic
This D.J.,Warren G,1994,hip-hop|west coast rap,g-funk
Can't Get Enough,J. Cole,2011,hip-hop|r&b,melodic
So What,Field Mob,,,
Pony,Ginuwine,,,
You Owe Me (feat. Ginuwine),Nas,,,
Do You Wanna Get $?,Mase,,,
From Scratch,Mase,,,
Same N****s (Album Version),Mase,,,
Gangsta Lovin' (feat. Alicia Keys),Eve,,,
Another Round (feat. Chris Brown),Fat Joe,,,
Best Friend (Remix) [feat. Olivia],50 Cent,,,
Baby Don't Go (feat. T-Pain),Fabolous,,,
I Don't Deserve You (feat. Jeremih),Lloyd Banks,,,
Break Up (feat. Gucci Mane & Sean Garrett),Mario,,,
Why Don't We Fall In Love,Amerie,,,
Throw It In the Bag (feat. The-Dream),Fabolous,,,
Wait a Minute (feat. Timbaland),The Pussycat Dolls,,,
Can't Believe It (feat. Lil Wayne),T-Pain,,,
"Everything, Everyday, Everywhere",Fabolous,,,
All I Ever Wanted (Album Version),Mase,,,
Keep It On,Mase,,,
Been Around the World,Puff Daddy & The Family,,,
Get Ready (Album Version),Blackstreet & Mase,,,
Feel Good Inc.,Gorillaz & De La Soul,,,
What You Want (feat. Total),Mase,,,
Sorry Not Sorry,Bryson Tiller,,,
I'm Gonna Be,Donell Jones,,,
Baby Boy (feat. Beyoncé),Sean Paul,,,
Mind Your Manners (feat. Icona Pop),Chiddy Bang,,,
If You Love Me,Brownstone,,,
Back on the Road (feat. Lil Wayne),Cordae,,,
One More Drink (feat. T-Pain),Ludacris,,,
Pullin' Me Back (feat. Tyrese),Chingy,,,
Pompeii,Bastille,,,
Sugar (feat. Francesco Yates),Robin Schulz,,,
Nobody's Perfect (feat. Missy Elliott),J. Cole,,,
"Bust It Baby, Pt. 2",Plies,,,
Back to the Crib,Juelz Santana,,,
Say Aah,Trey Songz,,,
Lovers and Friends,Lil Jon & The East Side Boyz,,,
Caught Up,Ja Rule & Lloyd,,,
All Eyez,The Game,,,
Follow My Lead,50 Cent,,,
My Time,Fabolous,,,
