title,artist,year,genres,tags
Can’t Stop Me,Jadakiss,2009,hip-hop|east coast rap,anthemic|sampled-hook
The Setup,Obie Trice,2003,hip-hop,melodic-hook|nate-dogg
Sugar Hill,AZ,1995,hip-hop|east coast rap,smooth|soulful
Luchini AKA This Is It,Camp Lo,1997,hip-hop,jazzy|upbeat|sample-heavy
I Got Love,Nate Dogg,2001,hip-hop|r&b,west-coast|melodic
Po' Folks,Nappy Roots,2002,hip-hop|southern rap,soulful|storytelling
Music,Erick Sermon,2001,hip-hop,soul-sample|midtempo
The Light,Common,2000,hip-hop,soulful|warm
Renee,Lost Boyz,1995,hip-hop|east coast rap,storytelling|melodic
This D.J.,Warren G,1994,hip-hop|west coast rap,g-funk
Can't Get Enough,J. Cole,2011,hip-hop|r&b,melodic
So What,Field Mob,2006,hip-hop|southern rap,rnb-hook
