title,artist,year,genres,tags,batch_id
So What,Field Mob,,,,targeted-10
Killa,Cherish,,,,targeted-10
Imma Put It on Her,Day26,,,,targeted-10
Back to the Crib,Juelz Santana,,,,targeted-10
"Bust It Baby, Pt. 2",Plies,,,,targeted-10
Girl Tonite,Twista,,,,targeted-10
Help,Lloyd Banks,,,,targeted-10
"Everything, Everyday, Everywhere",Fabolous,,,,targeted-10
You Know What,Avant,,,,targeted-10
Ride Wit U,Joe,,,,targeted-10
Throw It In the Bag,Fabolous,,,,broad-discovery-25
Sunshine,Lil' Flip,,,,broad-discovery-25
"Best of Me, Part 2",Mýa,,,,broad-discovery-25
Hot & Wet,112,,,,broad-discovery-25
She Don't,LeToya Luckett,,,,broad-discovery-25
Like This,Kelly Rowland,,,,broad-discovery-25
Why Don't We Fall in Love,Amerie,,,,broad-discovery-25
On Chill,Wale,,,,broad-discovery-25
The Matrimony,Wale,,,,broad-discovery-25
Come Through and Chill,Miguel,,,,broad-discovery-25
Dangerous,Meek Mill,,,,broad-discovery-25
All the Time,Jeremih,,,,broad-discovery-25
Say It,Tory Lanez,,,,broad-discovery-25
Essence,Wizkid,,,,broad-discovery-25
Last Last,Burna Boy,,,,broad-discovery-25
Hold Yuh,Gyptian,,,,broad-discovery-25
Heads High,Mr. Vegas,,,,broad-discovery-25
What We Do,Freeway,,,,broad-discovery-25
"Beamer, Benz, or Bentley",Lloyd Banks,,,,broad-discovery-25
Grindin',Clipse,,,,broad-discovery-25
No Idea,Don Toliver,,,,broad-discovery-25
Ex,Ty Dolla $ign,,,,broad-discovery-25
MUTT,Leon Thomas,,,,broad-discovery-25
MILLION DOLLAR BABY,Tommy Richman,,,,broad-discovery-25
fisherrr,Cash Cobain & Bay Swag,,,,broad-discovery-25
Get Me Home,Foxy Brown,,,,duplicate-round
(Always Be My) Sunshine,JAY-Z,,,,duplicate-round
The City Is Mine,JAY-Z,,,,duplicate-round
You Should Be Mine (Don't Waste Your Time),Brian McKnight,,,,duplicate-round
Only You (Bad Boy Remix),112,,,,duplicate-round
Crush Tonight,Fat Joe,,,,duplicate-round
Back Like That,Ghostface Killah,,,,duplicate-round
Karma,Lloyd Banks,,,,duplicate-round
Wanna Get To Know You,G-Unit,,,,duplicate-round
Camera Phone,The Game,,,,duplicate-round
Paradise,LL COOL J,,,,duplicate-round
U Make Me Wanna,Jadakiss,,,,duplicate-round
Rule,Nas,,,,corrected-8
Summer With Miami,Jim Jones,,,,corrected-8
Get No Better,Cassidy,,,,corrected-8
Change,Beanie Sigel,,,,corrected-8
All My Life,Freeway,,,,corrected-8
Can't Stop Me,Jadakiss,,,,corrected-8
Fly Together,Red Cafe,,,,corrected-8
Fly Like Me,Chingy,,,,corrected-8
Nuttin' But Love,Heavy D & The Boyz,,,,broad-15
Sugar Hill,AZ,,,,broad-15
Vivrant Thing,Q-Tip,,,,broad-15
Jazzy Belle,Outkast,,,,broad-15
Music,Erick Sermon,,,,broad-15
Po' Folks,Nappy Roots,,,,broad-15
The Setup,Obie Trice,,,,broad-15
I Got Love,Nate Dogg,,,,broad-15
It's Mine,Mobb Deep,,,,broad-15
Why You Wanna,T.I.,,,,broad-15
"Paris, Tokyo",Lupe Fiasco,,,,broad-15
Body 2 Body,Ace Hood,,,,broad-15
Leave You Alone,Young Jeezy,,,,broad-15
Break You Off,The Roots,,,,broad-15
Gotta Man,Eve,,,,broad-15
Luchini AKA This Is It,Camp Lo,,,,broad-14
Renee,Lost Boyz,,,,broad-14
Space Age Pimpin',8Ball & MJG,,,,broad-14
Smile,Scarface,,,,broad-14
This D.J.,Warren G,,,,broad-14
The Light,Common,,,,broad-14
Selfish,Slum Village,,,,broad-14
Oh Yes,Juelz Santana,,,,broad-14
Presidential,YoungBloodZ,,,,broad-14
Dreams,The Game,,,,broad-14
Comfortable,Lil Wayne,,,,broad-14
Pretty Girls,Wale,,,,broad-14
Can't Get Enough,J. Cole,,,,broad-14
Dance Tonight,Lucy Pearl,,,,broad-14
This Way,Dilated Peoples,,,,broad-14-replacements
The Blast,Reflection Eternal,,,,broad-14-replacements
Splash Waterfalls,Ludacris,2003,Hip-Hop/Rap|Dirty South,apple-music-catalog,tuning-1
Power Trip (feat. Miguel),J. Cole,2013,Hip-Hop/Rap,apple-music-catalog,tuning-1
Can't Deny It (feat. Nate Dogg),Fabolous,2001,Hip-Hop/Rap|Gangsta Rap|East Coast Rap,apple-music-catalog,tuning-1
Oh (feat. Ludacris),Ciara,2004,R&B/Soul|Rock|Hip-Hop/Rap|Rap|Dirty South|Contemporary R&B,apple-music-catalog,tuning-1
Me & U,Cassie,2006,R&B/Soul|Rock|Pop|Contemporary R&B,apple-music-catalog,tuning-1
Just a Lil Bit,50 Cent,2005,Hip-Hop/Rap|Gangsta Rap|East Coast Rap|Hardcore Rap,apple-music-catalog,tuning-1
Collard Greens (feat. Kendrick Lamar),ScHoolboy Q,2013,Hip-Hop/Rap,apple-music-catalog,tuning-1
Girls Around the World (feat. Lil Wayne) [Radio Version],Lloyd,2008,R&B/Soul|Contemporary R&B,apple-music-catalog,tuning-1
How's It Goin' Down,DMX,1998,Hip-Hop/Rap,apple-music-catalog,tuning-1
Shorty (Got Her Eyes On Me),Donell Jones,1999,R&B/Soul|Contemporary R&B,apple-music-catalog,tuning-1
I Get Around,2Pac,1998,Hip-Hop/Rap|West Coast Rap|Hardcore Rap|Gangsta Rap,apple-music-catalog,tuning-1
Pon de Replay,Rihanna,2005,Pop|Dance|Rock|Hip-Hop/Rap|Rap|R&B/Soul|Contemporary R&B,apple-music-catalog,tuning-1
When You're Mad,Ne-Yo,2006,R&B/Soul|Contemporary R&B|Hip-Hop/Rap|Rap,apple-music-catalog,tuning-1
Too Good (feat. Rihanna),Drake,2016,Hip-Hop/Rap,apple-music-catalog,tuning-1
If I Ruled the World (Imagine That),Nas,1996,Hip-Hop/Rap,apple-music-catalog,tuning-1
